Vote,Most_Important_Issue,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_monthly_expense_on_pets_or_plants,Weighted_education_rank,Number_of_valued_Kneset_members
0.0,7.0,-0.20350299689748896,-0.980297503510812,0.09504048917342445,-0.02838679898453722,0.3382857142857145,3.449744886335434,0.8313984932954369,0.46742914844342054
10.0,1.0,-0.6402368671788039,-0.22270923481241167,-0.9021953676000338,0.6001230863912608,-0.25742857142857134,-0.2278376163186564,1.1034767105448273,1.2132193138932694
4.0,0.0,-0.9458731174868328,-0.9825809424104603,-0.9653908075989275,0.964458804523425,-0.9339999999999999,-0.012242320400842738,2.3046588480813166,1.2132193138932694
0.0,4.0,0.8209972130458381,-0.7609730187867291,-0.9704686803830204,-0.3401030848526809,0.9171428571428573,3.9059167826209906,1.8843073515028377,-0.27836101700642835
8.0,6.0,-0.1646251150886594,0.15941896152917612,0.1746964407614735,-0.23194091853219467,0.14485714285714302,-0.45997539728080844,-0.7571143143650968,0.0945340657184961
4.0,7.0,-0.05864577673762583,-0.5284205336052361,-0.1301497077036261,0.5433494884221863,-0.1519999999999999,0.573412448026714,-0.1836387121340441,-0.6512560997313528
7.0,4.0,-0.19211627559255373,-0.03716442987464286,-0.18805040857149147,-0.02038618355258104,-0.8194285714285714,-1.0350914074620066,-0.7942398133226298,0.840324231168345
4.0,4.0,-0.12409555678904183,-0.7197101123276535,-0.30044437537629487,0.7219786137395183,-0.48371428571428576,0.6917089835573137,0.35309109690425144,1.2132193138932694
0.0,4.0,0.27527968680818726,0.047036631115221494,-0.9062925083596559,-0.036233556427417546,0.35285714285714276,2.361921628438778,0.7040937847271781,1.2132193138932694
8.0,6.0,-0.07707517446622603,0.3255109062533019,-0.0875612625825013,0.08316024309562287,-0.44028571428571417,0.69361546240768,-0.629635587119615,-1.3970462651812017
4.0,4.0,0.2710280372272169,0.755549126152476,0.8803827690721293,0.02407877529040703,0.8122857142857143,-0.46364513381409395,1.242426681027159,-0.27836101700642835
8.0,6.0,-0.1748667946096576,0.06094124526142686,-0.1386774507495312,-0.38856835141164703,0.43571428571428594,0.6812427998426887,-0.8827963169407522,-0.27836101700642835
4.0,0.0,-0.7231826061048072,-0.8636883987072903,-0.7654801890758928,0.37825986614354945,0.1545714285714288,-0.026055087559351923,1.6204141917554231,0.840324231168345
4.0,7.0,-0.06478358969715259,-0.9146047436685815,-0.4503889619065262,0.3651819370720826,0.17885714285714283,-0.49688632558176216,0.8664098169242109,0.46742914844342054
1.0,7.0,-0.30035860525159386,-0.2727016986213061,-0.41338180720161966,0.06777444418801437,-0.9831428571428571,-0.8337313308574361,-0.11283774909195238,-1.7699413479061261
4.0,2.0,-0.41542687860655336,-0.7371081057097402,-0.7983277070227622,0.5707362104777292,-0.20285714285714285,-0.8452919843767587,1.1804691975284536,-0.6512560997313528
1.0,4.0,-0.04554588448109487,-0.059101412892140326,0.04230975415265714,-0.1610123855681206,-0.5582857142857143,-0.8587433749761456,-1.2054778340593162,-1.0241511824562772
