Most_Important_Issue,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,Avg_monthly_expense_on_pets_or_plants,Weighted_education_rank,Number_of_valued_Kneset_members,Vote
1.0,0.22294813568596128,0.9724367864031964,0.2430690272932483,0.0002308935580694893,0.8574285714285717,-0.47803177294402316,0.8767411850595659,0.8418670368578047,4.0
4.0,-0.22359721407969657,-0.020131462033771363,-0.2301452946178465,-0.3651966443469561,-0.1785714285714286,-0.4975610996806517,-0.6814245270051962,0.46886422182797544,7.0
2.0,0.008619554650733496,0.21883229582571873,0.06615954325453122,0.9564380820441771,-0.9174285714285714,-0.8247725242953744,-0.8872933424301147,-0.6501442232615126,4.0
7.0,0.604573686171088,-0.6030883065542445,0.15577702276158734,0.4149157238513044,-0.48371428571428576,1.9691745659885456,0.525137043414957,-0.6501442232615126,0.0
0.0,-0.19999493419703074,0.023619897297389336,-0.17863823790795574,-0.585161240668052,0.22971428571428598,-0.5121081370527998,-0.7970165505398935,1.214869851887634,7.0
1.0,-0.08434124566107726,-0.011363272321827544,-0.0005127442900735302,0.07365504502424369,-0.9931428571428571,-0.7367174914110984,-1.204030925084408,-0.2771414082316832,11.0
6.0,0.07595084889005999,-0.28419944911848594,-0.003053334239681682,-0.0673439544370047,-0.15999999999999992,-0.7895379060327155,-0.7426772796373633,-0.6501442232615126,5.0
2.0,-0.1270703956517626,0.3669934193965012,0.9358248230992159,0.03548064342338164,0.7920000000000003,-0.7915957431251757,0.8369898125696126,0.09586140679814611,4.0
2.0,-0.1749811206059818,-0.10905374634464238,-0.20257213823525666,-0.4800277072269685,0.0345714285714287,-0.3306993620480795,-0.7532098575806372,-0.6501442232615126,7.0
2.0,-0.9500752696557874,-0.3147465687858164,-0.9805099556067427,0.8394520126221807,-0.7002857142857142,0.22815785212007114,1.704339011735438,0.46886422182797544,10.0
7.0,-0.002326022283511864,0.37285333325064984,-0.29287571210708807,-0.4758716231817133,0.026857142857142913,-1.053362828847226,-0.3444934301508389,-0.2771414082316832,2.0
4.0,0.8383268908455035,0.7664085529925291,0.26924344821967705,0.5591472331255292,-0.17999999999999994,0.15653344991863544,1.1865502322994816,0.8418670368578047,9.0
1.0,-0.9822826931549788,-0.418296120041324,-0.798914456346684,0.11352266605095052,0.6471428571428572,-0.20029128773584617,1.5548868757337475,1.5878726669174634,10.0
