Avg_Residancy_Altitude,Avg_education_importance,Avg_environmental_importance,Avg_government_satisfaction,Avg_monthly_expense_on_pets_or_plants,Most_Important_Issue,Number_of_valued_Kneset_members,Vote,Weighted_education_rank,Yearly_ExpensesK
-0.4047234402646357,-0.2182973422146538,-0.7870356663909388,-0.17054292650271174,0.2797532884721782,1.0,0.8368187372107765,7.0,-0.8825213103344923,-0.10571428571428565
0.6435110393107162,-0.20662059782385123,-0.7609635552053372,0.26544442966597104,3.2202145518900624,2.0,-1.03078053575462,0.0,-0.7405279700251663,-0.9094285714285715
-0.3025617355181168,-0.0718025545749077,-0.792165306364448,-0.08065306377470538,-0.5141690824354881,7.0,0.4632988826176972,7.0,-1.1011259820786816,-0.2954285714285714
0.20978536810523885,0.24088466960310506,-0.7472699369118267,0.01982417756480448,-0.9847608756135875,6.0,-0.6572606811615408,8.0,-0.5299779975806554,-0.6754285714285715
0.14762674051850144,0.0934886600278848,-0.716550425549159,0.1330537162658043,-0.26815168940316547,2.0,0.4632988826176972,4.0,-0.6347785368077467,0.5828571428571432
-0.15993537964458793,-0.14334759454566537,-0.6366440716467865,-0.4741845711233914,2.6426853769111567,1.0,1.5838584463969352,0.0,-0.32514291052154465,0.5825714285714287
-0.2333256404338795,-0.32018198094774275,-0.8720476553463312,-0.2917713761063695,0.1815454025744253,0.0,-0.6572606811615408,1.0,-0.099478812186098,-0.42399999999999993
0.5741210862374031,-0.95809520576095,-0.9670455388409417,-0.9401222192928039,-0.28373199554362116,0.0,0.4632988826176972,9.0,2.106168342674768,-0.20914285714285707
-0.782598661435495,-0.3524268152457388,-0.8636525036305225,-0.28476437598824955,-0.8265424805879359,7.0,-1.7778202449407787,1.0,-0.13027179625185262,0.5960000000000001
-0.36025848142164785,-0.2900024236255787,0.9999999999999998,0.017210666453115087,1.1485557896634009,7.0,-0.5758629141834818,12.0,-0.8608768713182462,0.9545714285714286
-0.8590660820063082,-0.0018582267070078595,-0.8125395958410961,-0.043583392937792564,1.523491942889869,7.0,0.4632988826176972,7.0,-0.9059524422725322,0.738
0.23071005461958616,0.6416514826953545,-0.9555660744992086,0.3789902563481544,1.8730562228657757,7.0,0.08977902802461787,0.0,1.2755446517158853,-0.1428571428571428
0.6601277021309331,0.6238765670621971,-0.7304789701990617,0.2841027588499989,-0.21693642289139045,4.0,1.2103385918038558,9.0,0.5186876473831398,-0.3688571428571428
0.5179629202246328,0.6862041768166014,-0.7916486710800967,0.24532051404904087,4.3196792603268666,2.0,-0.6572606811615408,0.0,0.6107755785431437,-0.6762857142857142
-0.26702054004154163,-0.09854272922386709,-0.8078245636848559,0.05133953378419043,-0.5920700290265254,4.0,0.08977902802461787,7.0,-1.006890775327816,-0.36142857142857143
0.2202477113624126,-0.00852825775418653,-0.7791577367561621,-0.011062934766978172,0.6630388548547833,6.0,-1.03078053575462,8.0,-1.1482412808657227,-0.6948571428571428
-0.7949073005615817,0.14713270920253807,-0.8645667639917181,0.013730704017286044,-0.5026114538953406,2.0,0.4632988826176972,2.0,-0.3017172539918279,0.6188571428571428
-0.687668282175552,-0.21479696451890662,-0.7532438834692952,-0.1925991980093914,0.5026835627332902,5.0,-1.4043003903476994,3.0,-0.8509921205515175,0.9911428571428571
-0.6750519270713131,-0.2957746152955144,-0.8655667930220805,-0.2789456020094311,0.6456454229783907,7.0,-1.4043003903476994,1.0,-0.18509030622909975,0.39628571428571435
-0.6535118086006615,-0.2691500615105983,-0.8520707484974732,-0.23154940983523997,1.4403592827148912,2.0,-1.7778202449407787,1.0,-0.3621128479127088,0.3562857142857143
-0.4191860912377875,-0.12479533656072295,-0.8106558949635954,-0.041798994870916095,-1.055201224666444,7.0,0.8368187372107765,7.0,-0.980746057138931,-0.07885714285714274
-0.06685129625355801,0.3161315195897296,-0.7280539149599782,0.16047648518705837,0.5811254986720478,7.0,-0.6572606811615408,4.0,-0.24380721723445728,0.9811428571428573
0.4467266712824063,0.6848360879259232,-0.6631157289398127,0.5353331306000519,-0.20015933101624514,1.0,0.4632988826176972,9.0,1.076347633537271,0.02742857142857158
